GO:0097367	2.11E-03	3.41E-02
GO:0098588	2.30E-05	8.93E-03
GO:0098852	2.38E-02	4.06E-02
GO:0110165	6.58E-09	5.49E-03
GO:0140014	3.19E-03	7.38E-05
GO:1900450	3.74E-02	4.57E-02
GO:1901265	1.67E-03	3.59E-03
GO:1903952	3.74E-02	4.57E-02
GO:1903954	3.74E-02	4.57E-02
GO:1904591	2.46E-03	2.63E-02
GO:1990939	8.90E-04	1.22E-02
GO:2000379	1.59E-02	3.78E-02
